id,name,aisle,consistency,amount,unit,nutrient_Zinc_mg,nutrient_Folate_µg,nutrient_Vitamin_D_µg,nutrient_Vitamin_B2_mg,nutrient_Potassium_mg,nutrient_Sodium_mg,nutrient_Vitamin_C_mg,nutrient_Copper_mg,nutrient_Cholesterol_mg,nutrient_Selenium_µg,nutrient_Vitamin_A_IU,nutrient_Magnesium_mg,nutrient_Sugar_g,nutrient_Vitamin_B5_mg,nutrient_Saturated_Fat_g,nutrient_Manganese_mg,nutrient_Calories_kcal,nutrient_Vitamin_B12_µg,nutrient_Mono_Unsaturated_Fat_g,nutrient_Vitamin_E_mg,nutrient_Fiber_g,nutrient_Caffeine_mg,nutrient_Net_Carbohydrates_g,nutrient_Vitamin_B6_mg,nutrient_Vitamin_B3_mg,nutrient_Phosphorus_mg,nutrient_Calcium_mg,nutrient_Iron_mg,nutrient_Fat_g,nutrient_Carbohydrates_g,nutrient_Trans_Fat_g,nutrient_Vitamin_B1_mg,nutrient_Alcohol_g,nutrient_Vitamin_K_µg,nutrient_Fluoride_mg,nutrient_Poly_Unsaturated_Fat_g,nutrient_Protein_g,property_Glycemic_Index,property_Glycemic_Load,property_Inflammation_Score,property_Nutrition_Score,caloricBreakdown_percentProtein,caloricBreakdown_percentFat,caloricBreakdown_percentCarbs,nutrient_Lycopene_µg,nutrient_Folic_Acid_µg,nutrient_Choline_mg,nutrient_Sugar_Alcohol_g
98990,vegeta,Spices and Seasonings,solid,100.0,grams,0.0,0.0,0.0,0.0,0.0,23000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
15077,smoked salmon,Seafood,solid,100.0,grams,0.31,2.0,17.1,0.1,175.0,784.0,0.0,0.23,23.0,32.4,87.0,18.0,0.0,0.87,0.93,0.02,117.0,3.26,2.02,1.35,0.0,0.0,0.0,0.28,4.72,164.0,11.0,0.85,4.32,0.0,,0.02,0.0,0.1,,1.0,18.28,0.0,0.0,0.0,13.555217477614464,65.29,34.71,0.0,0.0,0.0,89.0,
9252,pear,Produce,solid,100.0,grams,0.1,7.0,0.0,0.03,116.0,1.0,4.3,0.08,0.0,0.1,25.0,7.0,9.75,0.05,0.02,0.05,57.0,0.0,0.08,0.12,3.1,0.0,12.1,0.03,0.16,12.0,9.0,0.18,0.14,15.2,,0.01,0.0,4.4,2.2,0.09,0.36,36.75,4.45,0.0,1.9739130327235097,2.27,1.98,95.75,0.0,0.0,5.1,
93626,xanthan gum,Gluten Free;Health Foods;Baking,solid,100.0,grams,0.0,0.0,0.0,0.0,322.0,2888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.904347834379776,0.0,0.0,100.0,,,,
93718,black lentils,Pasta and Rice;Canned and Jarred,solid,100.0,grams,0.0,0.0,0.0,0.0,0.0,6.0,4.2,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,20.0,0.0,30.0,0.0,0.0,0.0,60.0,7.56,0.8,50.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,5.790869571916435,31.66,2.37,65.97,,,,
17142,ground veal,Meat,solid,100.0,grams,3.06,13.0,,0.27,315.0,82.0,0.0,0.11,82.0,8.1,,24.0,,1.31,2.79,0.03,144.0,1.34,2.57,0.26,0.0,,0.0,0.41,7.5,203.0,15.0,0.83,6.77,0.0,,0.08,,,,0.48,19.35,0.0,0.0,0.0,8.689130383989085,55.95,44.05,0.0,,0.0,,
98877,hare,Meat,solid,100.0,grams,1.7,10.0,0.0,0.06,318.0,77.0,0.0,0.24,60.0,10.0,0.0,26.0,0.0,0.8,0.97,0.04,478.0,1.0,0.32,0.1,0.0,0.0,0.0,0.3,8.07,210.0,9.1,0.8,3.0,0.0,0.0,0.09,0.0,0.0,0.0,1.46,21.6,0.0,0.0,0.0,7.573043418967205,76.19,23.81,0.0,,,,
10010219,pork,Meat,solid,100.0,grams,2.2,5.0,,0.23,287.0,56.0,0.7,0.05,72.0,24.6,7.0,19.0,,0.67,7.87,0.01,263.0,0.7,9.44,,0.0,,0.0,0.38,4.34,175.0,14.0,0.88,21.19,0.0,,0.73,,,,1.91,16.88,0.0,0.0,0.0,9.276086875278017,26.15,73.85,0.0,,0.0,,
11080,red beet,Produce,solid,100.0,grams,0.35,109.0,0.0,0.04,325.0,78.0,4.9,0.08,0.0,0.7,33.0,23.0,6.76,0.16,0.03,0.33,43.0,0.0,0.03,0.04,2.8,0.0,6.76,0.07,0.33,40.0,16.0,0.8,0.17,9.56,,0.03,0.0,0.2,,0.06,1.61,64.0,4.33,0.0,4.57000001228374,13.94,3.31,82.75,0.0,0.0,6.0,
11278,okra,Produce,solid,100.0,grams,0.58,60.0,0.0,0.06,299.0,7.0,23.0,0.11,0.0,0.7,716.0,57.0,1.48,0.25,0.03,0.79,33.0,0.0,0.02,0.27,3.2,0.0,4.25,0.22,1.0,61.0,82.0,0.62,0.19,7.45,,0.2,0.0,31.3,,0.03,1.93,32.0,1.36,0.0,9.866086928740792,19.68,4.36,75.96,0.0,0.0,12.3,
